glucose,glycogen,fatty_acid,triglycerides,glycerol,amino_acid,ammonia,urea,cholesterol,bile_acid,atp,adp,nad_plus,nadh,nadph,acetyl_coa,ketone_body,lactate,oxygen,albumin,clotting_factor,phaseI_intermediates,conjugates,ornithine,citrulline,argininosuccinate,arginine,ethanol,acetaldehyde,acetate,insulin,glucagon,epinephrine,cortisol,inflammation,oxygen_pressure,pH,temperature,is_postprandial,insulin_degrading_enzyme_activity,liver_function,xenobiotic_load,insulin_sensitivity,time,time_abs,scenario
68.25238188446366,2.4532735631535503,15.611307479777304,127.78918209767997,1.6909962741597147,4.455061845307591,6.830767720285361e-41,11.767355950340605,1.4963281231410572,23.503671876858878,27.03361560701394,0.8573039652414661,0.10499568433674296,59.89500431566322,8.972827517698065,36.29960603903724,14.100338854565342,0.0,86.38903117694795,63.127228003300644,18.820455841303176,0.0,0.0,1.8836779751703006,7.570155326639612e-39,1.6367766154130456e-22,8.892642995517609e-21,0.0,0.0,0.0,0.3178338733153432,0.446791208703907,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.5,18.5,train_cases_24h
68.16549319913831,2.4335525652795784,15.62370365569339,127.78918209767997,1.6820496382092063,4.37261555408054,6.185260170718394e-41,11.767355950340605,1.4900435450238647,23.50995645497607,26.983951946276772,0.8567527378986982,0.10351090805826892,59.896489091941696,8.972827517698065,36.28950843742743,14.111370005110858,0.0,86.38903117694795,63.18055509358898,18.837295975078437,0.0,0.0,1.8836779751703006,6.861230723767839e-39,1.5474086122114932e-22,8.416041488282503e-21,0.0,0.0,0.0,0.3158620152559533,0.4471123952134585,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.53333333333333,18.53333333333333,train_cases_24h
68.07869741057547,2.413981843768148,15.636170468849132,127.78918209767997,1.6732954520787107,4.2916457955795435,5.600753084585505e-41,11.767355950340605,1.4837853621347645,23.516214637865172,26.934800870097646,0.8562093056313923,0.10204677937177542,59.89795322062819,8.972827517698065,36.27930108528704,14.122498053670435,0.0,86.38903117694795,63.23289530177132,18.85382446187286,0.0,0.0,1.8836779751703006,6.218689491233107e-39,1.4629201019847456e-22,7.964974474044954e-21,0.0,0.0,0.0,0.31390297879574425,0.44743037447309286,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.566666666666666,18.566666666666666,train_cases_24h
67.99199749739817,2.394560374101563,15.648707345045406,127.78918209767997,1.664730461485832,4.2121261611135195,5.071481918092175e-41,11.767355950340605,1.4775534636137986,23.522446536386138,26.886154439106445,0.8556735600396905,0.10060301960527723,59.899396980394684,8.972827517698065,36.26898412441826,14.133723028714007,0.0,86.38903117694795,63.284266301944406,18.87004688298015,0.0,0.0,1.8836779751703006,5.636316045976512e-39,1.3830446644163785e-22,7.538074411518936e-21,0.0,0.0,0.0,0.3119567578219339,0.4477451656850959,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.6,18.6,train_cases_24h
67.90539635302734,2.3752871367461976,15.661313712826558,127.78918209767997,1.6563514655779743,4.1340307111985855,4.592226876832464e-41,11.767355950340605,1.4713477390666205,23.528652260933317,26.838004843749683,0.8551453941867628,0.09917935365535072,59.90082064634461,8.972827517698065,36.25855769987289,14.145044953356381,0.0,86.38903117694795,63.334685452092934,18.88596871986916,0.0,0.0,1.8836779751703006,5.108476730044329e-39,1.3075304257392443e-22,7.134046972517716e-21,0.0,0.0,0.0,0.31002334300295525,0.4480567885453388,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.633333333333333,18.633333333333333,train_cases_24h
67.81889678771863,2.3561611171504095,15.673989003550641,127.78918209767997,1.648155316081927,4.057333967294244,4.1582614369717966e-41,11.767355950340605,1.4651680785625407,23.534831921437398,26.790344402187063,0.8546247025800723,0.09777550994507506,59.90222449005489,8.972827517698065,36.24802195987442,14.156463845458433,0.0,86.38903117694795,63.38416979970598,18.901595355957493,0.0,0.0,1.8836779751703006,4.630065333453746e-39,1.2361392644938815e-22,6.751667123942785e-21,0.0,0.0,0.0,0.3081027219100428,0.4483652632129067,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.666666666666664,18.666666666666664,train_cases_24h
67.73250153054438,2.337181305742887,15.686732651456055,127.78918209767997,1.6401389164667777,3.982010903684002,3.7653057311779617e-41,11.767355950340605,1.4590143726325782,23.54098562736736,26.74316555822008,0.8541113811528607,0.09639122038244495,59.90360877961752,8.972827517698065,36.23737705574126,14.167979717727011,0.0,86.38903117694795,63.432736087294494,18.916932078353867,0.0,0.0,1.8836779751703006,4.1964537165003054e-39,1.1686460606525157e-22,6.3897754193596456e-21,0.0,0.0,0.0,0.3061948791352249,0.44867061028082467,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.7,18.7,train_cases_24h
67.64621323132275,2.3183466979313763,15.699544093724732,127.78918209767997,1.6322992211199123,3.9080369394978964,3.4094843395816444e-41,11.767355950340605,1.4528865122675214,23.547113487732418,26.69646087925235,0.8536053272458528,0.09502622031924644,59.90497377968072,8.972827517698065,36.2266231418109,14.179592577813567,0.0,86.38903117694795,63.480400757811594,18.93198407956979,0.0,0.0,1.8836779751703006,3.8034470542069895e-39,1.1048379857408883e-22,6.0472744889537714e-21,0.0,0.0,0.0,0.3042997964058197,0.4489728507478491,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.733333333333334,18.733333333333334,train_cases_24h
67.56003446249566,2.2996562941017307,15.71242277054197,127.78918209767997,1.6246332345358676,3.835387930874405,3.0872880694911793e-41,11.767355950340605,1.446784388915998,23.553215611083942,26.650223054281117,0.8531064395891768,0.09368024851038805,59.906319751489576,8.972827517698065,36.21576037536512,14.191302428411525,0.0,86.38903117694795,63.52717995997738,18.946756459201094,0.0,0.0,1.8836779751703006,3.447243270285334e-39,1.0445138317194357e-22,5.723125717259041e-21,0.0,0.0,0.0,0.3024174526955375,0.4492720059912916,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.766666666666666,18.766666666666666,train_cases_24h
67.47396772095752,2.2811090996172343,15.725368125152993,127.78918209767997,1.6171380105178133,3.7640401632593155,2.795539346924263e-41,11.767355950340605,1.4407078944825507,23.55929210551739,26.604444891919695,0.8526146182844972,0.09235304707367961,59.907646952926285,8.972827517698065,36.20478891655629,14.203109267352383,0.0,86.38903117694795,63.573089553509945,18.9612542255798,0.0,0.0,1.8836779751703006,3.124396268469039e-39,9.874833765075545e-23,5.416346098617885e-21,0.0,0.0,0.0,0.30054782433228344,0.44956809774084433,0.0,0.1,0.0,100.0,7.4,37.0,1.0,1.0,1.0,0.0,1.0,18.8,18.8,train_cases_24h
